"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Relevance to History of Economic Ideas"
"Green Finance and the Energy Transition: A Systematic Review of Economic Instruments for Renewable Energy Deployment in Emerging Economies","https://scispace.com/paper/green-finance-and-the-energy-transition-a-systematic-review-l61e1b7dajld","2025","Journal Article","Energies","Emma Verónica Ramos Farroñán
Gary Christiam Farfán Chilicaus
Luís Edgardo Cruz Salinas
Liliana Correa Rojas
Lisseth Katherine Chuquitucto Cotrina
Gladys S. Licapa-Redolfo
Persi Vera-Zelada
Luis Alberto Vera Zelada","10.3390/en18174560","","- **Relevance Score:** 77/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses PRISMA systematic review to assess green finance instruments; focuses on climate finance mechanisms; covers 2015‑2025 only; integrates multiple thematic clusters (institutional capacity, SDG trade‑offs, equity gaps); draws on economics and policy perspectives.","This systematic review synthesizes evidence on economic instruments that mobilize renewable-energy investment in emerging economies, analyzing 50 peer-reviewed studies published between 2015 and 2025 under PRISMA 2020. We advance an Institutional Capacity Integration Framework that ties instrument efficacy to regulatory, market, and coordination capabilities. Green bonds have mobilized roughly USD 500 billion yet work only where robust oversight and liquid markets exist, offering limited gains for decentralized access. Direct subsidies cut renewable electricity costs by 30–50% and connect 45 million people across varied contexts, but pose fiscal–sustainability risks. Carbon pricing schemes remain rare given their administrative complexity, while multilateral climate funds show moderate effectiveness (coefficients 0.3–0.8) dependent on national coordination strength. Bibliometric mapping with Bibliometrix reveals three fragmented paradigms—market efficiency, state intervention, and international cooperation—and highlights geographic gaps: sub-Saharan Africa represents just 16% of studies despite acute financing barriers. Sixty-eight percent of articles employ descriptive designs, constraining causal inference and reflecting tensions between SDG 7 (affordable energy) and SDG 13 (climate action). Our framework rejects one-size-fits-all prescriptions, recommending phased, context-aligned pathways that progressively build capacity. Policymakers should tailor instrument mixes to institutional realities, and researchers must prioritize causal methods and underrepresented regions through focused initiatives for equitable global progress. ","LOW - The paper is a systematic review of economic instruments for renewable energy deployment, focusing on their efficacy and institutional capacities. It does not explicitly engage with the history of economic thought, intellectual genealogies, or economic methodology, nor does it analyze the evolution of economic concepts in climate finance."
"Assessing Climate Finance Practices in Developing Countries: A Systematic Literature Review","https://scispace.com/paper/assessing-climate-finance-practices-in-developing-countries-67x6tc5ci3q4","2023","Journal Article","","Dipendra Timilsena","10.3126/jjmr.v1i1.69931","","- **Relevance Score:** 73/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses climate‑finance focus and rigorous SLR to map gaps in funding, governance, and private investment; lacks explicit 1990‑2025 scope; covers multiple thematic clusters; draws on development and policy perspectives but interdisciplinary depth is limited.","The purpose of this study is to investigate climate financing practice in developing countries by following the systematic literature review process. Emerging scholarly and policy literature conclude that developing and small island Pacific countries are the most vulnerable in the world and similarly they have facing a big gap between the requirement of adaptation and mitigating financing and actual funds received by them. Developing countries are facing various problems such as Local level / beneficiaries’ participation &amp; Green Climate Fund mobilization, unified reporting framework challenges, lack of effectiveness in Green Climate Fund (GCF) mobilization and transparency in mobilization, Governance, and policy focus, integrating disaster risk reduction and climate change adaptation in theory and practice etc. By following the rigorous systematic literature review process, it found that these countries are trying to overcome from such problems which may country specific and some have similar to other countries. It is found that government, multilateral and bilateral funding is insufficient so that capacity building of the local communities and attracting of private investment in climate financing activities is crucial to the sustainability roadmap of the countries. ","LOW - The paper is an empirical/technical systematic literature review focusing on current climate finance practices and challenges in developing countries, without engaging with the intellectual history, conceptual evolution, or economic ideas behind climate finance."
"A Systematic Review on Nexus Between Green Finance and Climate Change: Evidence from China and India","https://scispace.com/paper/a-systematic-review-on-nexus-between-green-finance-and-f7uef5q5","2023","Journal Article","International Journal of Energy Economics and Policy","Jirakiattikul Sopin
Kuaanan Techato","10.32479/ijeep.14331","","- **Relevance Score:** 68/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses green finance to address climate change; follows PRISMA systematic review; limits literature to 2018‑2022; touches finance, tech, and regulation themes but not full thematic breadth; draws on economics and environmental policy perspectives.","The efforts of developing economies are mainly concerned with integrating different socio-economic requirements. In contrast, those economies only concentrate on the immediate impact to be resolved instead of focusing on efforts to mitigate long-run effects such as climate change: a global challenge due to long-term shifts in weather and temperature pattern. Climate change has resulted in global warming, severe storms, and increased droughts, including risks to human health, loss of biodiversity, poverty, and displacement, whereby green finance is considered a primary solution to mitigate such problems that can ensure sustainable environmental outcomes while promoting the agenda of, decarbonization, green tech innovation, green financial innovation, and green growth. This systematic review paper studies the nexus between green finance and climate change in China and India. This article follows Preferred Reporting Items for Systematic Review and Meta-Analysis (PRISMA) guidelines and reviews Scopus and Web of Science indexed peer-reviewed articles of five years published from 2018 AD to 2022 AD and 58 full-text articles were reviewed. The paper's significant findings reveal that innovation in finance and technology are the major frontiers of green financing that are critical in addressing the problems of climate change. It is environmental regulations that accentuate the process of green financial innovation and green technology innovation. However, green financial innovation is also a catalyst for green technology innovation. Green financial innovations are related to developing and innovating green financial products such as green bonds or loans, green insurance or securities, ESG rating, perception of environmental issues, and carbon drifting. On the other hand, green tech innovations are innovations in energy, transport, construction, and buildings. Innovations in technology and finance backed by environmental regulations strengthen the effort toward decarbonization. Regulatory interventions in green financing have more pronounced effects on emission reduction. Such actions are oriented towards green growth where the desired sustainable outcomes are realized regarding climate change adaptation, mitigation, or carbon neutrality.","LOW - The paper is a systematic review focusing on the current nexus between green finance and climate change in China and India, identifying innovations and regulations. It does not engage with the historical development of economic ideas, methodologies, or the intellectual history of climate finance."
"Funding Climate Action: A Systematic Review of Climate Finance Efficiency and Impact","https://scispace.com/paper/funding-climate-action-a-systematic-review-of-climate-25uveotz5lni","2025","Journal Article","Journal of economics, finance and management studies","Wafula Anthony Emmanuel Wabwile
Ibrahim Tirimba Ondabu","10.47191/jefms/v8-i4-49","","- **Relevance Score:** 67/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses systematic review to map climate‑finance sources, allocation, and governance; covers multiple thematic clusters (public‑private finance, equity, institutional issues); draws on economics and policy perspectives; lacks explicit SLR protocol details and does not specify 1990‑2025 literature window.","This study presents a systematic review of the efficiency and impact of climate finance, with a focus on the key funding sources, allocation patterns, and the effectiveness of current climate finance mechanisms in advancing climate mitigation goals. Climate finance has emerged as a critical component of global efforts to combat climate change, yet its efficiency and impact remain under scrutiny. The study synthesizes existing empirical literature on climate finance, examining the role of public, private, and blended finance in funding climate action. It highlights the major sources of climate finance, including bilateral and multilateral funds, as well as private sector investments, and evaluates how these funds are allocated across various regions and sectors. Additionally, the study explores the operational mechanisms of climate finance, assessing their effectiveness in mobilizing resources for climate change mitigation and adaptation. The findings reveal that while significant progress has been made in mobilizing climate finance, there are persistent challenges related to funding gaps, fragmentation, and inefficiencies in the allocation of resources. The impact of climate finance on achieving climate mitigation goals has been varied, with successes in some areas, particularly in renewable energy and forest conservation, but limited progress in others due to governance issues, lack of coordination, and weak institutional frameworks. The study calls for a more streamlined and transparent approach to climate finance, emphasizing the importance of effective governance and accountability mechanisms to enhance the efficiency of funding and maximize its impact on climate mitigation. Recommendations are provided to improve the alignment of climate finance with sustainable development objectives, address regional disparities, and overcome the barriers to large-scale private investment in climate action. ","LOW - The paper is a systematic review focusing on the efficiency and impact of current climate finance mechanisms, their sources, allocation, and effectiveness. It does not engage with the history of economic thought, intellectual genealogies, or the evolution of economic concepts in climate finance."
"Climate Change Financing: A Systematic Review","https://scispace.com/paper/climate-change-financing-a-systematic-review-486c8a7xmw","","Journal Article","Social Science Research Network","Teshome Deresse","10.2139/ssrn.4669535","","- **Relevance Score:** 64/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses systematic review to map climate‑finance mechanisms and actors; defines search strategy and inclusion criteria; likely spans recent decades but not explicitly 1990‑2025; touches on several thematic clusters (definitions, public‑private debates, UNFCCC roles) and draws on economics and development studies.","Download This Paper Open PDF in Browser Add Paper to My Library Share: Permalink Using these links will ensure access to this page indefinitely Copy URL Copy DOI ","LOW - The paper is a systematic review examining climate change financing mechanisms, identifying gaps and opportunities. It does not explicitly engage with the history of economic ideas, economic methodology, or the intellectual history of climate finance."
"Analysing the Research Development in Green Finance: Performance Analysis and Directions for Future Research","https://scispace.com/paper/analysing-the-research-development-in-green-finance-16tslc628epa","2025","Journal Article","FIIB business review","Rajesh Desai
Sunita Patel","10.1177/23197145241306838","","- **Relevance Score:** 62/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses SPAR-4-SLR to conduct a systematic review (1997‑2024). Covers multiple green‑finance themes, touches climate risk, but lacks explicit climate‑finance focus and full interdisciplinary depth.","Financial institutions actively consider environmental performance as an important metric for investment evaluation and allocation of financial resources, which is prevalently known as ‘green finance’. The concept of green finance has received global recognition, as illustrated by the growing publications, yet there is a persistent need to synthesize the extant literature in this area to understand how green finance has developed as a distinctive and crucial body of knowledge. The present research aims to systematically review the scholarly articles on the green finance domain published from 1997 to 2024. Using the Scopus database and the SPAR-4-SLR framework, the current research integrates the bibliometric analysis along with a systematic literature review approach. The study discovers seven thematic areas that associate the green finance domain with distinctive knowledge clusters, such as (a) green investments, (b) green economic growth, (c) environmental performance, (d) green innovation, (e) corporate social responsibility, (f) climate risk management and (g) financial development. Such dispersed and multiple themes corroborate the multidimensional outlook of green finance and its universal applicability. Further, the study also describes theme-wise directions of future research to enhance the existing body of knowledge. Finally, the current research enumerates critical implications for academicians, practitioners and policymakers. ","LOW - The paper systematically reviews green finance literature and identifies thematic areas, but it does not explicitly engage with the history of economic thought, intellectual genealogies, or economic methodology."
"A Systematic Literature Review on Carbon Financial Accounting","https://scispace.com/paper/a-systematic-literature-review-on-carbon-financial-8krn164l","2023","Journal Article","","","10.55463/hkjss.issn.1021-3619.60.91","","- **Relevance Score:** 60/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses systematic review to map carbon accounting literature (2002‑2022); links accounting standards, allowance valuation, governance, and professional practice, but limited to accounting scope, narrower time span, and modest interdisciplinary breadth.","The economic consequences of climate change and the function of carbon accounting in climate change have attracted increased attention from the research community. Although various studies have investigated climate change and carbon accounting, no systematic literature analysis has been conducted to provide a comprehensive overview of carbon financial accounting. Thus, the current paper gains insights into the key research domains and outlines future research directions and opportunities for carbon financial accounting by using systematic literature review. This paper adopts a methodological approach of systematic literature review, as suggested by Linnenluecke et al. (2020) with a final sample of 43 academic papers published from 2002 to 2022. Papers in this domain discuss seven topics: debates on IFRIC 3, the diversity of approaches to accounting practices, redefining emission allowance, valuation of emission allowance, a high level of non-disclosure, carbon accounting for sustainability governance, and responses of accountancy professionals. There are several issues to explore in future research, including investigating the interactions among different carbon accounting frames, applying new theoretical views and empirical methods to develop how decisions around carbon financial accounting are made, and providing more research on less developed countries. This paper conducts a systematic literature review of the theories and practices of carbon financial accounting. It makes contributions to the academic community by highlighting several key topics and research avenues that may impact the theory and practice related to carbon financial accounting and climate change. Keywords: carbon financial accounting, systematic literature review, carbon emission allowance, climate change. DOI: https://doi.org/10.55463/hkjss.issn.1021-3619.60.91 ","LOW - The paper conducts a systematic literature review on carbon financial accounting, focusing on current theories and practices, and identifying future research directions, without engaging with the historical evolution of economic thought or methodology in this domain."
"A bibliometric analysis on climate finance: current status and future directions.","https://scispace.com/paper/a-bibliometric-analysis-on-climate-finance-current-status-1nn3fzbizs","2023","","Environmental Science and Pollution Research","Qingyi Shang
Xin Jin","10.1007/s11356-023-31006-5","","- **Relevance Score:** 58/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses bibliometric and systematic review to map climate finance literature, integrates environmental and economic perspectives, but lacks explicit SLR protocol, time span definition, and broad thematic depth.","Since the adoption of the Paris Agreement in 2015, different countries have implemented various measures to achieve climate governance. This has attracted significant attention from the academic community, resulting in a rapid increase in climate finance literature. This study conducts bibliometric analysis and systematic review to identify the development trends and research hotspots in the field of climate finance. The empirical findings reveal that climate finance research primarily focuses on environmental science, energy fuels, economics, and finance. However, there is limited coverage of climate finance content in finance journals. Moreover, scholars in developing countries show less interest in climate finance compared to them in developed countries, and there is limited cross-regional collaboration among scholars from developing countries. Finally, this paper analyzes clustering results to identify and categorize the focal areas dispersed across research articles, and provides future directions for the advancement of climate finance. ","LOW - The paper conducts a bibliometric analysis of climate finance literature, identifying research trends and hotspots in various fields including economics and finance. However, it does not explicitly engage with the history of economic thought, trace intellectual genealogies, or analyze how economic concepts shaped climate finance."
"A Bibliometric Analysis on Climate Finance: Current Status and Future Directions","https://scispace.com/paper/a-bibliometric-analysis-on-climate-finance-current-status-qkfqdemeey","2023","Preprint","","Qingyi Shang
Xin Jin","10.21203/rs.3.rs-3256213/v1","","- **Relevance Score:** 58/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses bibliometric analysis to map climate‑finance literature, integrates economics and environmental science, but lacks explicit SLR protocol, temporal limits, and broad thematic depth.","Abstract Since the adoption of the Paris Agreement in 2015, different countries have implemented various measures to achieve climate governance. This has attracted significant attention from the academic community, resulting in a rapid increase in climate finance literature. This study conducts bibliometric analysis and systematic review to identify the development trends and research hotspots in the field of climate finance. The empirical findings reveal that climate finance research primarily focuses on environmental science, energy fuels, economics, and finance. However, there is limited coverage of climate finance content in finance journals. Moreover, scholars in developing countries show less interest in climate finance compared to them in developed countries, and there is limited cross-regional collaboration among scholars from developing countries. Finally, this paper analyzes clustering results to identify and categorize the focal areas dispersed across research articles, and provides future directions for the advancement of climate finance. ","LOW - The paper conducts a bibliometric analysis of climate finance literature to identify development trends and research hotspots, focusing on current status rather than the intellectual history or evolution of economic ideas within the field."
"A Review of the Global Climate Finance Literature","https://scispace.com/paper/a-review-of-the-global-climate-finance-literature-3uosd41h","2023","Journal Article","Sustainability","Roy Kouwenberg
Chenglong Zheng","10.3390/su15021255","","- **Relevance Score:** 58/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses bibliometric analysis to map climate‑finance research, covering key themes and multiple disciplines, but lacks a formal SLR protocol, broad temporal span, and full thematic breadth.","This study conducts a bibliometric analysis and literature review of studies on climate finance. Since the Paris Agreement was adopted in December 2015, the academic community has paid closer attention to this emerging topic, as witnessed by a sharp increase in the number of publications. Our review lists this field’s most influential publications, authors, and journals, based on citations. The bibliometric analysis highlights the multidisciplinary nature of climate finance research, which spans environmental science, energy, economics, and finance. The citation analysis also reveals that, despite the exponential growth in publications related to climate finance, leading journals in finance and economics have so far published only a small number of articles in this literature. In addition, the citation analysis identifies four main themes in the knowledge domain: the financing of renewable energy; the impacts of climate change risks on the financial sector; investor preferences for green investments and the impact on corporations; and the pricing and hedging of climate change risk in financial markets.","LOW - The paper conducts a bibliometric analysis and literature review of climate finance studies, highlighting its multidisciplinary nature and identifying key themes. It does not explicitly engage with the history of economic thought, intellectual genealogies, or economic methodology."
"Mapping accounting literature on climate finance: identifying research gaps and reflections on future research","https://scispace.com/paper/mapping-accounting-literature-on-climate-finance-identifying-yo63lpe8iy","2024","Journal Article","Accounting Research Journal","T. R. S. de Aguiar
Shamima Haque
Laura McCann","10.1108/arj-06-2023-0162","","- **Relevance Score:** 57/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses meta‑analysis to map climate‑finance literature, highlighting accounting, policy, and market impacts; lacks systematic review protocol and explicit 1990‑2025 coverage.","
Purpose
This study aims to investigate climate finance literature to understand whether and how research in this area is explored from an accounting perspective.


Design/methodology/approach
This study conducts a meta-analysis and narrative review of climate finance.


Findings
The issue of climate finance has received increasing attention in recent years because of international negotiations on climate change. The volume of literature examining climate finance has grown, particularly from a finance perspective. The literature analysed is diverse, using unique methodological and theoretical differences and providing insights into the effectiveness of policies and the impact of climate finance on capital markets, economic growth and the green economy. However, in spite of growing concerns regarding the accounting and reporting issues in climate finance, little attention has been paid to this topic from an accounting, accountability, audit or corporate disclosure perspective.


Originality/value
This study contributes to climate finance research by integrating insights from a dispersed and emerging body of literature by conducting meta-analysis and narrative review. Meta-analysis enables us to map the development of this specific literature and how it has changed over the years, whereas a narrative review serves as a basis for identifying research gaps and developing avenues for future research in accounting, accountability, audit and corporate disclosure.
","LOW - The paper conducts a meta-analysis and narrative review of climate finance literature to identify research gaps, particularly from an accounting perspective. It does not explicitly engage with the history of economic thought, intellectual genealogies, or economic methodology."
"Systematic literature review and bibliometric analysis of green finance and renewable energy development","https://scispace.com/paper/systematic-literature-review-and-bibliometric-analysis-of-5c0afmbstm","2024","Journal Article","Sustainable Development","Siti Nurain Muhmad
Sadia Cheema
Akmalia Mohamad Ariff
Nik Fadhilah Nik Him
Siti Nasuha Muhmad","10.1002/sd.3093","","- **Relevance Score:** 57/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses systematic review protocol with defined search and synthesis; examines green finance's role in renewable energy, aligning with climate finance focus. Covers literature 2010‑2023, missing earlier years. Touches on a few thematic clusters (e.g., finance‑energy link, country contributions) but lacks broader multidimensional analysis. No clear interdisciplinary blend across specified fields.","Abstract Climate change poses a significant threat to ecosystems, the economy, human health, and livelihoods worldwide. Hence, it is imperative to establish international collaboration among governments and corporations to effectively address climate change through the reduction of emissions and preservation of the environment. This study aims to examine and deliberate on publications on green finance initiatives and renewable energy development. This study conducts a systematic literature review and a meticulous bibliometric analysis that examines 128 scientific papers from 2010 to 2023 on green finance and renewable energy development to address the urgent need for sustainable solutions in the fight against climate change. The analysis shows a significant increase in annual publications, revealing growth in global interest in green finance and renewable energy with high‐impact journals playing a vital role in publishing research outputs. Furthermore, China is the country with the most publications, holding a commanding position. Another finding from the analysis is that from an academic perspective, the United States is also a country that is heavily engaged in research on green finance and renewable energy development. The study confirms the positive relationship between green finance and renewable energy development, and it shows that there is an urgent need to have green finance initiatives in companies to accelerate the development of renewable energy. The findings emphasize the importance of further research and global collaborations to harness the potential of green finance for a sustainable, low‐carbon future. ","LOW - The paper conducts a systematic literature review and bibliometric analysis of green finance and renewable energy development, focusing on publication trends, country contributions, and the relationship between green finance and renewable energy. It does not engage with the history of economic thought, intellectual genealogies, or the evolution of economic concepts within climate finance."
"Green finance’s impact on sustainable development: insights from diverse perspectives a systematic literature review","https://scispace.com/paper/green-finances-impact-on-sustainable-development-insights-22llnjc504","2023","Journal Article","EPRA international journal of economics, business and management","Dawit Tolossa
Gobezu Gotoro Gota","10.36713/epra14458","","- **Relevance Score:** 55/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses systematic review protocol; examines green finance impacts, touching on climate‑related themes but without explicit climate‑finance focus; covers several thematic strands like policy, technology, and social outcomes; draws from economics and development perspectives; does not specify literature window 1990‑2025.","This comprehensive literature review examines the impact of green finance on corporate sustainability performance. The synthesis of diverse research methodologies reveals a consistent narrative of green finances positive influence on sustainability. Green finance, encompassing digital finance and green financial policies, emerges as a driving force behind green technology innovation, enhanced energy efficiency, and environmentally responsible practices. Beyond economic benefits, it extends its positive impact to social and environmental dimensions, aligning with broader sustainable development objectives. Financial constraints and regional variations are acknowledged challenges, prompting the consideration of policy interventions, such as green finance pilot policies, to mitigate these hindrances. The implications extend to policy development, business strategies, investment decisions, and further research, emphasizing the need for holistic approaches to integrating environmental considerations into financial practices. Chinas experiences with green finance offer valuable insights for addressing global environmental challenges while promoting sustainable economic growth and responsible financial development. KEYWORDS: Green Finance, sustainable development, systematic literature review ","LOW - The paper is a systematic literature review focused on the impact of green finance on corporate sustainability performance, including its role in green technology innovation and environmentally responsible practices. It does not explicitly engage with the history of economic thought, intellectual genealogies, or the evolution of economic concepts within climate finance."
