title,Insights,authors
Climate Finance: An Overview,"The paper does not specifically address the history of economic thought on climate finance or the distinctions between welfare/efficiency economists and political-economy-oriented economists. It focuses on climate finance mechanisms, the role of public and private sectors, and the challenges in achieving climate finance goals. Key thinkers like Nordhaus and Stern are mentioned in broader contexts, but detailed discussions on accounting categories, controversies in UNFCCC/OECD, and intersections with development finance are not covered.",Noah Gordon
Same but different? Understanding divergent definitions of and views on climate finance,"The paper does not address the history of economic thought on climate finance, specific economists, or detailed controversies in UNFCCC/OECD contexts. It focuses on diverging definitions and accounting methods of climate finance, emphasizing the need for consensus among Parties to achieve the Paris Agreement objectives. Key issues include eligibility of climate-related activities, the relationship between climate and development finance, and the need for institutional change. For detailed historical and theoretical discussions, refer to specialized literature in economic thought and climate finance.",
Definitions and accounting of climate finance: between divergence and constructive ambiguity,"The paper does not specifically address the history of economic thought on climate finance, including the perspectives of welfare/efficiency economists versus political-economy-oriented economists, nor does it delve into the works of key thinkers like Nordhaus, Stern, or others. It focuses on definitions and accounting of climate finance, highlighting the ambiguities and divergences in categorization and measurement, particularly in the context of UNFCCC and OECD frameworks. For detailed historical analysis, further literature would be required.","Igor Shishlov, Philipp Censkowsky"
"Postface: fragmentation, failing trust and enduring tensions over what counts as climate finance","The paper discusses the fragmented nature of climate finance accounting, particularly the limitations of the Rio markers system used by developed countries for reporting to the UNFCCC. It highlights the lack of consensus on defining climate finance, which complicates comparisons between nations. Key thinkers like Weikmans and Roberts emphasize the need for rigorous accounting modalities to enhance transparency and trust. The paper does not delve into the broader history of economic thought or specific economists like Nordhaus or Stern.","J. Timmons Roberts, Romain Weikmans"
Assessing the credibility of how climate adaptation aid projects are categorised,"The paper primarily critiques the reliability of the Rio marker methodology used for climate finance reporting by OECD donors, highlighting issues of self-reporting and lack of independent verification. It emphasizes the need for a robust climate finance accounting methodology, referencing previous analyses by key thinkers like Roberts and Weikmans. However, it does not delve into the broader history of economic thought on climate finance or the specific controversies involving key economists like Nordhaus or Stern.","Romain Weikmans, J. Timmons Roberts, Jeffrey S Baum, Maria Camila Bustos, Alexis Durand"
Definition and structure of the economic category «climate finance»,"The paper does not address the history of economic thought on climate finance, including the perspectives of welfare/efficiency economists versus political-economy-oriented economists, nor does it discuss key thinkers like Nordhaus, Stern, or others. It focuses on defining climate finance and its importance in international agreements, highlighting the lack of a universally accepted definition and the need for collaboration among organizations and researchers. For detailed historical and theoretical discussions, other sources should be consulted.",Yaroslav Yakovenko
Mapping accounting literature on climate finance: identifying research gaps and reflections on future research,"The paper does not specifically address the history of economic thought on climate finance, key thinkers, or controversies in UNFCCC/OECD contexts. It focuses on the lack of accounting perspectives in climate finance literature and identifies research gaps in accounting, accountability, audit, and corporate disclosure. The study employs meta-analysis and narrative review to map existing literature and suggest future research avenues, but it does not delve into the detailed economic theories or specific economists mentioned in your query.","T. R. S. de Aguiar, Shamima Haque, Laura McCann"
"Expanding the politics of measurement in sustainable finance: Reconceptualizing environmental, social and governance information as infrastructure","The paper does not specifically address the history of economic thought on climate finance, including the debates between welfare/efficiency economists and political-economy-oriented economists, nor does it discuss key thinkers like Nordhaus or Stern. It focuses on the evolution of sustainable finance through the lens of ESG information infrastructure, bridging macro and micro-political perspectives. For detailed discussions on the mentioned economists and controversies in climate finance, additional literature outside this paper would be necessary.",Andreas Dimmelmeier
Agreeing on Accounting: The Emergence of Carbon Accounting as an Infrastructure for Evidence,"The paper does not address the history of economic thought on climate finance or the specific economists mentioned. It focuses on the emergence of carbon accounting as an infrastructure for evidence in transnational law and policy, particularly in relation to the Paris Climate Agreement. The study emphasizes the cyclical negotiation process of carbon accounting's normative meanings and calls for further research at the intersection of law, accounting, and organizations, rather than delving into economic theories or controversies in climate finance.",Dennis West
"Measure for measure? Commensuration, commodification, and metrology in emissions markets and beyond","The paper does not specifically address the history of economic thought on climate finance or the debates between welfare/efficiency economists and political-economy-oriented economists. It focuses on metrology's role in emissions markets, measurement, and commensuration, highlighting how these concepts influence market rule and political contestation. For detailed discussions on key thinkers like Nordhaus and Stern, and topics like Rio markers and development finance, other literature in economics and climate policy should be consulted.",Mark H. Cooper
Beyond the ‘tyranny of metrics’? Indicator literacy in sustainable finance,"The paper does not address the history of economic thought on climate finance, the debates between welfare/efficiency economists and political-economy-oriented economists, or the specific contributions of key thinkers like Nordhaus, Stern, and others. It focuses instead on the use of metrics in sustainable finance, particularly through case studies of financial instruments and the concept of ‘indicator literacy’. For detailed discussions on the topics you mentioned, please refer to specialized literature in economic thought and climate finance.","Ben Eyre, Oiara Bonilla, Marc Brightman, Stefan Voicu"
Risking carbon capital: Reporting infrastructures and the making of financial climate risks,"The paper does not specifically address the history of economic thought on climate finance, including the perspectives of welfare/efficiency economists versus political-economy-oriented economists, nor does it discuss key thinkers like Nordhaus, Stern, or others mentioned. It focuses instead on the infrastructural work of making climate risks intelligible for financial investors and critiques the emphasis on financial climate risks over material risks of global heating. For detailed discussions on the mentioned topics, further literature would be required.",Andreas Folkers
Les financements climat entre ubiquité et exiguïté : enjeux politiques de leur définition,"The paper does not address the history of economic thought on climate finance, the distinctions between welfare/efficiency economists and political-economy-oriented economists, or the contributions of key thinkers like Nordhaus, Stern, and others. It focuses instead on the allocation and effectiveness of climate finance, emphasizing the need for distinct envelopes for mitigation and adaptation funding, and the criteria for their distribution. For detailed discussions on the specified topics, please refer to relevant literature outside this paper.","Patrick Guillaumont, Sylviane Guillaumont Jeanneney"
Quelles mesures pour le financement international du développement et des biens publics mondiaux ?,"The paper does not specifically address the history of economic thought on climate finance or the controversies in UNFCCC/OECD contexts. It focuses on the inadequacies of current statistical frameworks in capturing international financing for global public goods, particularly in relation to sustainable development goals. It critiques existing metrics and suggests alternatives for better reflecting financial flows, but does not delve into specific economists or detailed historical analyses. For comprehensive insights, further literature would be necessary.","Thomas Mélonio, Jean-David Naudet"
Climate finance as development aid,"The paper does not address the history of economic thought on climate finance, including the perspectives of welfare/efficiency economists versus political-economy-oriented economists, nor does it discuss key thinkers like Nordhaus, Stern, or others. It focuses on the relevance of public climate finance and the challenges of classifying it as ODA, emphasizing the need for separate accounting and monitoring of climate finance goals. For detailed historical and theoretical discussions, additional sources would be required.",
Policies for climate finance: Status and research needs,"The paper does not specifically address the history of economic thought on climate finance or the distinctions between welfare/efficiency economists and political-economy-oriented economists. It focuses on the need for policy designs to mobilize climate finance and the challenges in accounting for international monetary transfers. Key thinkers like Nordhaus and Stern are not mentioned, nor are controversies in UNFCCC/OECD contexts or the intersection with development finance. For detailed exploration, further literature review is recommended.","Bjarne Steffen, Axel Michaelowa"
Climate Finance and Governance,"The paper does not specifically address the history of economic thought on climate finance, including the perspectives of welfare/efficiency economists versus political-economy-oriented economists, nor does it discuss key thinkers like Nordhaus, Stern, or others. It focuses on the evolving definitions of climate finance under international law and its political contestation, tracing its development from the Rio Declaration to the Paris Agreement, without delving into the detailed controversies or statistical infrastructure related to UNFCCC/OECD contexts.",Nina Araneta-Alana
Multilateral Climate Finance Coordination: Politics and Depoliticization in Practice,"The paper does not address the history of economic thought on climate finance, including the perspectives of welfare/efficiency economists versus political-economy-oriented economists, nor does it discuss key thinkers like Nordhaus, Stern, or others. It focuses instead on the coordination efforts of the Climate Investment Funds and the Green Climate Fund, highlighting the depoliticization of climate finance governance and its implications. For detailed discussions on economic theories and controversies, other sources would be more appropriate.","Jakob Skovgaard, Kevin Adams, Kendra Dupuy, Adis Dzebo, Mikkel Funder, Adam Moe Fejerskov, Zoha Shawoo"
Defining Climate Finance Justice: Critical Geographies of Justice Amid Financialized Climate Action,"The paper does not specifically address the history of economic thought on climate finance, including the distinctions between welfare/efficiency economists and political-economy-oriented economists, nor does it discuss key thinkers like Nordhaus, Stern, or others mentioned. It focuses on the emerging subfield of climate finance justice, exploring its implications within the UNFCCC and voluntary carbon markets, while advocating for broader interdisciplinary perspectives. For detailed historical and theoretical analyses, additional sources would be necessary.","Lauren Gifford, Laura Aileen Sauls"
The need for a climate-resilient development-aligned framing of innovative climate finance,"The paper does not address the history of economic thought on climate finance, including the perspectives of welfare/efficiency economists versus political-economy-oriented economists, nor does it discuss key thinkers like Nordhaus, Stern, or others. It focuses instead on the alignment of innovative climate finance with climate-resilient development principles, emphasizing governance and allocation issues. For detailed discussions on the topics you mentioned, please refer to specific literature in economic thought and climate finance.",Jessica Omukuti
